# ws034-p001 distfile manifest (2026-09-23). Tab separated.
# key	version	archive	url	verify-kind	verify-url...
# verify-kind: sig (detached OpenPGP signature), sha256-file, sha512-file,
#   sha256sums-signed (signed list), gh-digest (GitHub release asset digest,
#   filled in by fetch script from the API), dsc (Debian signed .dsc), none
bash	5.3	bash-5.3.tar.gz	https://ftp.gnu.org/gnu/bash/bash-5.3.tar.gz	sig	https://ftp.gnu.org/gnu/bash/bash-5.3.tar.gz.sig
coreutils	9.12	coreutils-9.12.tar.xz	https://ftp.gnu.org/gnu/coreutils/coreutils-9.12.tar.xz	sig	https://ftp.gnu.org/gnu/coreutils/coreutils-9.12.tar.xz.sig
ca-certificates-debian	20260816	ca-certificates_20260816.tar.xz	https://deb.debian.org/debian/pool/main/c/ca-certificates/ca-certificates_20260816.tar.xz	dsc	https://deb.debian.org/debian/pool/main/c/ca-certificates/ca-certificates_20260816.dsc
zlib	1.3.2	zlib-1.3.2.tar.xz	https://zlib.net/zlib-1.3.2.tar.xz	sig	https://zlib.net/zlib-1.3.2.tar.xz.asc
expat	2.8.5	expat-2.8.5.tar.xz	https://github.com/libexpat/libexpat/releases/download/R_2_8_5/expat-2.8.5.tar.xz	sig	https://github.com/libexpat/libexpat/releases/download/R_2_8_5/expat-2.8.5.tar.xz.asc
curl	8.22.0	curl-8.22.0.tar.xz	https://curl.se/download/curl-8.22.0.tar.xz	sig	https://curl.se/download/curl-8.22.0.tar.xz.asc
wget	1.25.0	wget-1.25.0.tar.gz	https://ftp.gnu.org/gnu/wget/wget-1.25.0.tar.gz	sig	https://ftp.gnu.org/gnu/wget/wget-1.25.0.tar.gz.sig
git	2.55.0	git-2.55.0.tar.xz	https://mirrors.edge.kernel.org/pub/software/scm/git/git-2.55.0.tar.xz	sha256sums-signed	https://mirrors.edge.kernel.org/pub/software/scm/git/sha256sums.asc
emacs	31.1	emacs-31.1.tar.xz	https://ftp.gnu.org/gnu/emacs/emacs-31.1.tar.xz	sig	https://ftp.gnu.org/gnu/emacs/emacs-31.1.tar.xz.sig
vim	9.2.1125	vim-9.2.1125.tar.gz	https://github.com/vim/vim/archive/refs/tags/v9.2.1125.tar.gz	none
binutils	2.47	binutils-2.47.tar.xz	https://ftp.gnu.org/gnu/binutils/binutils-2.47.tar.xz	sig	https://ftp.gnu.org/gnu/binutils/binutils-2.47.tar.xz.sig
gmp	6.3.0	gmp-6.3.0.tar.xz	https://ftp.gnu.org/gnu/gmp/gmp-6.3.0.tar.xz	sig	https://ftp.gnu.org/gnu/gmp/gmp-6.3.0.tar.xz.sig
mpfr	4.2.2	mpfr-4.2.2.tar.xz	https://ftp.gnu.org/gnu/mpfr/mpfr-4.2.2.tar.xz	sig	https://ftp.gnu.org/gnu/mpfr/mpfr-4.2.2.tar.xz.sig
mpc	1.3.1	mpc-1.3.1.tar.gz	https://ftp.gnu.org/gnu/mpc/mpc-1.3.1.tar.gz	sig	https://ftp.gnu.org/gnu/mpc/mpc-1.3.1.tar.gz.sig
isl	0.24	isl-0.24.tar.bz2	https://gcc.gnu.org/pub/gcc/infrastructure/isl-0.24.tar.bz2	none
gcc	16.2.0	gcc-16.2.0.tar.xz	https://ftp.gnu.org/gnu/gcc/gcc-16.2.0/gcc-16.2.0.tar.xz	sig	https://ftp.gnu.org/gnu/gcc/gcc-16.2.0/gcc-16.2.0.tar.xz.sig
gdb	17.2	gdb-17.2.tar.xz	https://ftp.gnu.org/gnu/gdb/gdb-17.2.tar.xz	sig	https://ftp.gnu.org/gnu/gdb/gdb-17.2.tar.xz.sig
meson	1.12.0	meson-1.12.0.tar.gz	https://github.com/mesonbuild/meson/releases/download/1.12.0/meson-1.12.0.tar.gz	sig	https://github.com/mesonbuild/meson/releases/download/1.12.0/meson-1.12.0.tar.gz.asc
ninja	1.13.2	ninja-1.13.2.tar.gz	https://github.com/ninja-build/ninja/archive/refs/tags/v1.13.2.tar.gz	none
